n_iter	likelihood	edges
52	[0.20000000000000007, 0.25000000000000006, 0.20000000000000007, 0.25, 0.25, 0.5, 0.2, 0.25, 0.25, 0.2, 0.5, 0.25, 0.25, 0.5, 0.25, 0.2, 0.25, 0.5, 0.25, 0.5, 0.5, 0.5, 0.20000000000000007, 0.5, 0.25, 0.25, 0.5, 0.5, 0.5, 0.5, 0.5, 0.25000000000000006, 0.5, 0.25, 0.25, 0.2, 0.2, 0.5, 0.2, 0.5, 0.25, 0.25, 0.25, 0.25, 0.5, 0.2, 0.2, 0.25, 0.25, 0.25, 0.25, 0.5]	1-2,1-4,2-3,3-5,3-6,None-1
40	[0.33333333333333337, 0.3333333333333333, 0.25000000000000006, 0.2, 0.5, 0.5, 0.20000000000000007, 0.3333333333333333, 0.5, 0.20000000000000007, 0.25, 0.5, 0.2, 0.2, 0.3333333333333333, 0.20000000000000007, 0.5, 0.3333333333333333, 0.5, 0.25, 0.25, 0.5, 0.5, 0.5, 0.3333333333333333, 0.20000000000000007, 0.5, 0.5, 0.25, 0.25, 0.25, 0.5, 0.25, 0.3333333333333333, 0.5, 0.2, 0.3333333333333333, 0.3333333333333333, 0.5, 0.2]	1-2,1-4,2-3,3-5,5-6,None-1
39	[0.2, 0.3333333333333333, 0.2, 0.2, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, 0.3333333333333333, 0.3333333333333333, 0.2, 0.3333333333333333, 0.2, 0.2, 0.5, 0.3333333333333333, 0.2, 0.2, 0.5, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 0.3333333333333333, 0.2, 0.5, 0.5, 0.3333333333333333, 0.5, 0.5, 0.5, 0.5, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 0.2, 0.3333333333333333]	1-2,1-4,2-3,3-5,4-6,None-1
36	[0.3333333333333333, 0.5, 0.33333333333333337, 0.20000000000000007, 0.20000000000000007, 0.5, 0.20000000000000007, 0.5, 0.5, 0.5, 0.25, 0.2, 0.20000000000000007, 0.25000000000000006, 0.3333333333333333, 0.5, 0.5, 0.5, 0.5, 0.3333333333333333, 0.20000000000000007, 0.5, 0.25, 0.5, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, 0.5, 0.5, 0.5, 0.3333333333333333, 0.25, 0.3333333333333333, 0.5, 0.3333333333333333]	1-2,1-4,2-3,2-6,3-5,None-1
29	[0.25, 0.3333333333333333, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.3333333333333333, 0.25, 0.25000000000000006, 0.5, 0.33333333333333337, 0.25, 0.5, 0.5, 0.3333333333333333, 0.5, 0.5, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, 0.3333333333333333, 0.25, 0.5, 0.5]	1-2,1-4,2-3,2-5,5-6,None-1
29	[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 0.3333333333333333, 0.5, 0.3333333333333333, 0.5, 0.25, 0.5, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.25, 0.5, 0.3333333333333333, 0.5, 0.3333333333333333, 0.3333333333333333, 0.25]	1-2,1-4,2-3,2-5,4-6,None-1
24	[0.25, 0.25, 0.25, 0.5, 0.25, 0.25, 0.25, 0.25, 0.25, 0.5, 0.25, 0.5, 0.25, 0.25, 0.5, 0.5, 0.5, 0.25, 0.25, 0.5, 0.25, 0.5, 0.5, 0.5]	1-2,1-4,2-3,2-5,3-6,None-1
